k,coverage,strat
132,3185,Random
133,3188,Random
134,3192,Random
135,3280,Random
136,3283,Random
1,614,Random
2,703,Random
3,705,Random
4,795,Random
5,812,Random
6,814,Random
7,816,Random
8,831,Random
9,833,Random
10,835,Random
11,838,Random
12,842,Random
13,844,Random
14,854,Random
15,860,Random
16,862,Random
17,865,Random
18,867,Random
19,871,Random
20,873,Random
21,875,Random
22,878,Random
23,891,Random
24,994,Random
25,1024,Random
26,1026,Random
27,1034,Random
28,1035,Random
29,1038,Random
30,1055,Random
31,1057,Random
32,1140,Random
33,1142,Random
34,1144,Random
35,1146,Random
36,1148,Random
37,1170,Random
38,1172,Random
39,1175,Random
40,1187,Random
41,1195,Random
42,1197,Random
43,1200,Random
44,1202,Random
45,1227,Random
46,1228,Random
47,1230,Random
48,1253,Random
49,1254,Random
50,1257,Random
51,1291,Random
52,1311,Random
53,1330,Random
54,1342,Random
55,1352,Random
56,1361,Random
57,1366,Random
58,1368,Random
59,1379,Random
60,1382,Random
61,1383,Random
62,1386,Random
63,1387,Random
64,1389,Random
65,1391,Random
66,1396,Random
67,1397,Random
68,1399,Random
69,1403,Random
70,1417,Random
71,1455,Random
72,1522,Random
73,1523,Random
74,1525,Random
75,1530,Random
76,1540,Random
77,1544,Random
78,1952,Random
79,1955,Random
80,1957,Random
81,1959,Random
82,1960,Random
83,1963,Random
84,1969,Random
85,1973,Random
86,1975,Random
87,1977,Random
88,2079,Random
89,2084,Random
90,2125,Random
91,2127,Random
92,2131,Random
93,2499,Random
94,2500,Random
95,2521,Random
96,2536,Random
97,2537,Random
98,2801,Random
99,2838,Random
100,2846,Random
101,2848,Random
102,2849,Random
103,2853,Random
104,3056,Random
105,3062,Random
106,3084,Random
107,3086,Random
108,3152,Random
109,3156,Random
110,3197,Random
111,3199,Random
112,3200,Random
113,3206,Random
114,3208,Random
115,3209,Random
116,3218,Random
117,3232,Random
118,3233,Random
119,3236,Random
120,3238,Random
121,3240,Random
122,3250,Random
123,3251,Random
124,3255,Random
125,3258,Random
126,3261,Random
127,3263,Random
128,3266,Random
129,3268,Random
130,3270,Random
131,3271,Random
132,3274,Random
133,3275,Random
134,3276,Random
135,3277,Random
136,3279,Random
1,11,Random
2,12,Random
3,101,Random
4,107,Random
5,109,Random
6,118,Random
7,119,Random
8,130,Random
9,168,Random
10,170,Random
11,172,Random
12,188,Random
13,190,Random
14,194,Random
15,198,Random
16,200,Random
17,202,Random
18,208,Random
19,210,Random
20,224,Random
21,226,Random
22,228,Random
23,230,Random
24,296,Random
25,313,Random
26,315,Random
27,319,Random
28,321,Random
29,323,Random
30,330,Random
31,332,Random
32,335,Random
33,337,Random
34,339,Random
35,342,Random
36,344,Random
37,346,Random
38,349,Random
39,350,Random
40,351,Random
41,353,Random
42,355,Random
43,356,Random
44,360,Random
45,365,Random
46,367,Random
47,572,Random
48,573,Random
49,576,Random
50,578,Random
51,600,Random
52,604,Random
53,605,Random
54,973,Random
55,976,Random
56,979,Random
57,980,Random
58,1084,Random
59,1088,Random
60,1122,Random
61,1124,Random
62,1125,Random
63,1126,Random
64,1131,Random
65,1233,Random
66,1235,Random
67,1248,Random
68,1658,Random
69,1659,Random
70,1662,Random
71,1664,Random
72,1667,Random
73,1670,Random
74,1737,Random
75,1779,Random
76,1788,Random
77,1792,Random
78,1798,Random
79,1818,Random
80,1821,Random
81,1822,Random
82,1828,Random
83,1911,Random
84,1913,Random
85,1916,Random
86,1921,Random
87,1923,Random
88,1925,Random
89,1926,Random
90,1928,Random
91,1930,Random
92,1931,Random
93,1961,Random
94,1963,Random
95,1985,Random
96,2007,Random
97,2008,Random
98,2031,Random
99,2032,Random
100,2040,Random
101,2058,Random
102,2059,Random
103,2668,Random
104,2669,Random
105,2685,Random
106,2689,Random
107,2690,Random
108,2691,Random
109,2693,Random
110,2705,Random
111,2709,Random
112,2723,Random
113,2731,Random
114,2741,Random
115,2743,Random
116,2745,Random
117,2746,Random
118,2751,Random
119,2768,Random
120,2780,Random
121,2817,Random
122,2818,Random
123,2820,Random
124,2823,Random
125,2837,Random
126,2839,Random
127,2864,Random
128,2866,Random
129,2871,Random
130,2873,Random
131,2883,Random
132,3147,Random
133,3150,Random
134,3155,Random
135,3196,Random
136,3198,Random
1,12,Random
2,14,Random
3,33,Random
4,36,Random
5,39,Random
6,41,Random
7,47,Random
8,49,Random
9,418,Random
10,420,Random
11,422,Random
12,424,Random
13,426,Random
14,428,Random
15,470,Random
16,472,Random
17,510,Random
18,511,Random
19,514,Random
20,517,Random
21,521,Random
22,523,Random
23,525,Random
24,527,Random
25,532,Random
26,534,Random
27,540,Random
28,542,Random
29,552,Random
30,560,Random
31,564,Random
32,565,Random
33,588,Random
34,597,Random
35,600,Random
36,608,Random
37,612,Random
38,616,Random
39,633,Random
40,634,Random
41,635,Random
42,638,Random
43,650,Random
44,1058,Random
45,1059,Random
46,1072,Random
47,1074,Random
48,1083,Random
49,1093,Random
50,1096,Random
51,1098,Random
52,1100,Random
53,1183,Random
54,1190,Random
55,1196,Random
56,1197,Random
57,1209,Random
58,1312,Random
59,1313,Random
60,1316,Random
61,1317,Random
62,1319,Random
63,1322,Random
64,1323,Random
65,1360,Random
66,1362,Random
67,1366,Random
68,1367,Random
69,1371,Random
70,1373,Random
71,1375,Random
72,1377,Random
73,1379,Random
74,1380,Random
75,1383,Random
76,1385,Random
77,1399,Random
78,1400,Random
79,1404,Random
80,1418,Random
81,1435,Random
82,1437,Random
83,1439,Random
84,1441,Random
85,1443,Random
86,1465,Random
87,1468,Random
88,1470,Random
89,1485,Random
90,1487,Random
91,1488,Random
92,1489,Random
93,1497,Random
