k,coverage,strat
23,292,Random
24,296,Random
25,299,Random
26,302,Random
27,306,Random
28,308,Random
29,313,Random
30,316,Random
31,355,Random
32,377,Random
33,399,Random
34,403,Random
35,409,Random
36,411,Random
37,414,Random
38,423,Random
39,425,Random
40,427,Random
41,429,Random
42,448,Random
43,449,Random
44,450,Random
45,451,Random
46,455,Random
47,456,Random
48,458,Random
49,463,Random
50,473,Random
51,473,Random
52,540,Random
53,541,Random
54,542,Random
55,544,Random
56,585,Random
57,587,Random
58,601,Random
59,603,Random
60,615,Random
61,617,Random
62,619,Random
63,621,Random
64,1033,Random
65,1036,Random
66,1404,Random
67,1419,Random
68,1420,Random
69,1437,Random
70,1439,Random
71,1450,Random
72,1452,Random
73,1454,Random
74,1456,Random
75,1468,Random
76,1469,Random
77,1474,Random
78,1475,Random
79,1500,Random
80,1501,Random
81,1503,Random
82,1605,Random
83,1608,Random
84,1610,Random
85,1614,Random
86,1616,Random
87,1618,Random
88,1619,Random
89,1621,Random
90,1629,Random
91,1630,Random
92,1634,Random
93,1636,Random
94,1646,Random
95,1647,Random
96,1677,Random
97,1678,Random
98,1680,Random
99,1688,Random
100,1711,Random
101,1799,Random
102,1816,Random
103,2021,Random
104,2024,Random
105,2024,Random
106,2026,Random
107,2032,Random
108,2034,Random
109,2041,Random
110,2043,Random
111,2080,Random
112,2081,Random
113,2084,Random
114,2086,Random
115,2089,Random
116,2091,Random
117,2125,Random
118,2126,Random
119,2127,Random
120,2130,Random
121,2233,Random
122,2237,Random
123,2239,Random
124,2322,Random
125,2344,Random
126,2345,Random
127,2609,Random
128,2610,Random
129,2611,Random
130,2614,Random
131,2617,Random
132,2658,Random
133,2660,Random
134,2671,Random
135,3279,Random
136,3281,Random
1,27,Random
2,42,Random
3,81,Random
4,100,Random
5,102,Random
6,104,Random
7,106,Random
8,119,Random
9,121,Random
10,125,Random
11,126,Random
12,128,Random
13,131,Random
14,133,Random
15,136,Random
16,152,Random
17,154,Random
18,157,Random
19,198,Random
20,201,Random
21,203,Random
22,212,Random
23,214,Random
24,216,Random
25,219,Random
26,221,Random
27,224,Random
28,235,Random
29,257,Random
30,261,Random
31,263,Random
32,271,Random
33,272,Random
34,274,Random
35,377,Random
36,392,Random
37,394,Random
38,397,Random
39,399,Random
40,409,Random
41,411,Random
42,416,Random
43,418,Random
44,421,Random
45,443,Random
46,460,Random
47,470,Random
48,472,Random
49,502,Random
50,585,Random
51,1193,Random
52,1197,Random
53,1199,Random
54,1201,Random
55,1204,Random
56,1206,Random
57,1219,Random
58,1222,Random
59,1225,Random
60,1225,Random
61,1226,Random
62,1228,Random
63,1230,Random
64,1234,Random
65,1236,Random
66,1239,Random
67,1306,Random
68,1308,Random
69,1312,Random
70,1324,Random
71,1325,Random
72,1693,Random
73,1694,Random
74,1698,Random
75,1765,Random
76,1775,Random
77,1978,Random
78,1987,Random
79,1988,Random
80,1990,Random
81,1992,Random
82,1995,Random
83,2000,Random
84,2408,Random
85,2422,Random
86,2425,Random
87,2427,Random
88,2428,Random
89,2462,Random
90,2564,Random
91,2565,Random
92,2567,Random
93,2569,Random
94,2570,Random
95,2572,Random
96,2574,Random
97,2576,Random
98,2580,Random
99,2584,Random
100,2604,Random
101,2611,Random
102,2615,Random
103,2619,Random
104,2660,Random
105,2663,Random
106,2664,Random
107,2702,Random
108,2790,Random
109,2791,Random
110,2800,Random
111,2801,Random
112,2802,Random
113,2807,Random
114,2809,Random
115,2814,Random
116,2817,Random
117,2818,Random
118,2820,Random
119,3083,Random
120,3105,Random
121,3111,Random
122,3116,Random
123,3120,Random
124,3143,Random
125,3144,Random
126,3151,Random
127,3156,Random
128,3158,Random
129,3165,Random
130,3167,Random
131,3181,Random
132,3271,Random
133,3274,Random
134,3276,Random
135,3279,Random
136,3280,Random
1,11,Random
2,215,Random
3,223,Random
4,227,Random
5,230,Random
6,242,Random
7,252,Random
8,254,Random
9,257,Random
10,260,Random
11,269,Random
12,272,Random
13,360,Random
14,363,Random
15,732,Random
16,996,Random
17,1018,Random
18,1021,Random
19,1023,Random
20,1024,Random
21,1034,Random
22,1056,Random
23,1058,Random
24,1466,Random
25,1468,Random
26,1478,Random
27,1480,Random
28,1482,Random
29,1484,Random
30,1487,Random
31,1489,Random
32,1495,Random
33,1499,Random
34,1513,Random
35,1515,Random
36,1537,Random
37,1539,Random
38,1540,Random
39,1550,Random
40,1553,Random
41,1553,Random
42,1556,Random
43,1557,Random
44,1558,Random
45,1560,Random
46,1561,Random
47,1564,Random
48,1581,Random
49,1593,Random
50,1602,Random
51,1605,Random
52,1607,Random
53,1609,Random
54,1612,Random
55,1613,Random
56,1615,Random
57,1617,Random
58,1619,Random
59,1620,Random
60,1622,Random
61,1623,Random
62,1626,Random
63,1643,Random
64,1646,Random
65,1661,Random
66,1663,Random
67,1665,Random
68,1669,Random
69,1694,Random
70,1697,Random
71,1699,Random
72,1701,Random
73,1709,Random
74,1713,Random
75,1715,Random
76,1716,Random
77,1717,Random
78,1722,Random
79,1736,Random
80,1738,Random
81,1752,Random
82,1763,Random
83,1767,Random
84,1869,Random
85,1874,Random
86,1876,Random
87,1943,Random
88,1946,Random
89,2029,Random
90,2063,Random
91,2069,Random
92,2074,Random
93,2076,Random
94,2080,Random
95,2082,Random
96,2085,Random
97,2086,Random
98,2089,Random
99,2091,Random
100,2096,Random
101,2097,Random
102,2104,Random
103,2106,Random
104,2110,Random
105,2131,Random
106,2132,Random
107,2133,Random
108,2223,Random
109,2225,Random
110,2292,Random
111,2322,Random
112,2323,Random
113,2325,Random
114,2327,Random
115,2328,Random
116,2347,Random
117,2450,Random
118,2452,Random
119,2454,Random
120,2458,Random
121,2459,Random
122,2461,Random
123,2463,Random
124,2467,Random
125,3075,Random
126,3077,Random
127,3079,Random
128,3102,Random
129,3143,Random
130,3184,Random
131,3221,Random
132,3234,Random
133,3235,Random
134,3238,Random
135,3239,Random
136,3241,Random
1,3,Random
2,18,Random
3,22,Random
4,24,Random
5,27,Random
6,29,Random
7,95,Random
8,110,Random
9,116,Random
10,117,Random
11,128,Random
12,392,Random
13,422,Random
14,510,Random
15,612,Random
16,614,Random
17,616,Random
18,618,Random
19,685,Random
20,707,Random
21,709,Random
22,725,Random
23,737,Random
24,743,Random
25,747,Random
26,757,Random
27,759,Random
28,764,Random
29,765,Random
30,855,Random
31,858,Random
32,862,Random
33,863,Random
34,867,Random
35,908,Random
36,912,Random
37,926,Random
38,927,Random
39,944,Random
40,946,Random
41,969,Random
42,971,Random
43,973,Random
44,976,Random
45,978,Random
46,980,Random
47,987,Random
48,988,Random
49,991,Random
50,992,Random
51,993,Random
52,999,Random
53,1004,Random
54,1412,Random
55,1414,Random
56,1416,Random
57,1418,Random
58,1440,Random
59,1543,Random
60,1545,Random
61,1546,Random
62,1583,Random
